2018/09/13 23:52:08 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/events HTTP/1.1", upstream: "http://172.18.0.3:8000/api/events", host: "localhost", referrer: "http://localhost/"
2018/11/07 00:21:09 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.14:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 00:21:11 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.14:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 00:32:13 [error] 6#6: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.14:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 00:32:13 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.14:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 00:32:13 [error] 6#6: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.14:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 00:52:15 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.14:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 00:52:17 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.14:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 00:58:00 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.15:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 00:58:02 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.15:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 01:34:21 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.16:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 01:34:24 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.16:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 01:34:54 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.16:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 01:34:57 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.16:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
2018/11/07 01:35:00 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.0.2.2, server: localhost, request: "GET /api/profiles/ HTTP/1.1", upstream: "http://172.20.0.16:8000/api/profiles/", host: "localhost", referrer: "http://localhost/"
